start_station_name,end_station_name,trips,start_lat,start_lng,end_lat,end_lng
Bushwick Ave & Dekalb Ave,E 9 St & 5 Ave,1,40.695006132,-73.928247571,40.73275887045087,-73.99581670761108
63 St & Borden Ave,63 St & Borden Ave,68,40.726623297,-73.903220296,40.72655,-73.90321
Grand Ave & 55 St,E New York Ave & Troy Ave,1,40.71888,-73.91427,40.66227,-73.93762
Adam Clayton Powell Blvd & W 118 St,Willis Ave & Bruckner Blvd,15,40.804199696,-73.951714158,40.805701,-73.925177
Schermerhorn St & Court St,Cleveland Pl & Spring St,20,40.6910363748993,-73.99201065301895,40.722103786686034,-73.99724900722504
Grand St & Elizabeth St,E 13 St & 2 Ave,180,40.718822,-73.99596,40.73153937464073,-73.9853024482727
Montrose Ave & Bushwick Ave,Broadway & Furman Ave,7,40.707635045,-73.940288544,40.68139,-73.90756
67 St & Erik Pl,Kosciuszko St & Nostrand Ave,2,40.633385,-74.016562,40.69072549,-73.95133465
Mt Morris Park W & W 120 St,E 41 St & Madison Ave (SW corner),1,40.804038,-73.945925,40.752165280621966,-73.97992193698882
Avenue D & E 3 St,Cedar St & Myrtle Ave,1,40.720890999,-73.978158116,40.697842,-73.926241
Mercer St & Bleecker St,8 Ave & W 52 St,10,40.72706363348306,-73.99662137031554,40.76370739,-73.9851615
Frederick Douglass Blvd & W 139 St,Bradhurst Ave & W 148 St,50,40.818797827,-73.944522738,40.825125,-73.941616
Lewis Ave & Greene Ave,Wyckoff Av & Stanhope St,5,40.689813256,-73.936410785,40.703545,-73.917775
Amsterdam Ave & W 79 St,Sherman Ave & Thayer St,1,40.783249497,-73.978622198,40.863124,-73.926994
Carlton Ave & St Marks Ave,Broadway & Madison St,20,40.678951383,-73.971896648,40.68822,-73.91966
61 St & Queens Blvd,72 St & Northern Blvd,3,40.740959764,-73.902782798,40.75473,-73.89458
E 161 St & River Ave,Broadway & W 38 St,1,40.827957034,-73.927197933,40.7529728216068,-73.98734897375107
99 St & 58 Ave,Queens Blvd & Broadway,14,40.73761,-73.85959,40.73672,-73.87728
Boston Rd & Prospect Ave,E 201 St & Briggs Ave,4,40.833264709,-73.896712184,40.87207,-73.88459
53 St & 2 Ave,Albee Square W & Fulton St,3,40.647572875,-74.018870234,40.69068758614303,-73.98347854614258
Broadway & E 19 St,11 Ave & Prospect Ave,2,40.73866091428551,-73.98987293243407,40.65629,-73.977335
W 15 St & 6 Ave,Bond St & Bergen St,3,40.738210559,-73.996685028,40.6849668,-73.98620772
43 St & 37 Ave,Jackson Ave & 46 Rd,3,40.750168085,-73.920199752,40.74524768,-73.94733276
Parkside Ave & Parade Pl,Classon Ave & St Marks Ave,13,40.6532,-73.96639,40.676513,-73.959431
Amsterdam Ave & W 73 St,Allen St & Hester St,5,40.779505372,-73.98060298,40.71605866,-73.99190759
Lexington Ave & E 127 St,3 Ave & E 163 St,4,40.805912852,-73.936233401,40.823872,-73.908699
53 St & Flushing Ave,Irving Ave & DeKalb Ave,18,40.714333296,-73.913967729,40.7027,-73.92095
Edgecombe Ave & W 145 St,Hudson Blvd W & W 36 St,1,40.82341218,-73.943874002,40.75676475086503,-73.99971440439913
W 52 St & 5 Ave,W 36 St & 9 Ave,24,40.760192752,-73.976688147,40.75462324029105,-73.99516761302948
W 95 St & Broadway,Central Park W & W 91 St,474,40.793535709,-73.972040534,40.78866499127884,-73.96680057048798
Amsterdam Ave & W 131 St,Jerome Ave & Ogden Ave,2,40.816374063,-73.954349518,40.829797,-73.931015
Madison St & Evergreen Ave,7 Ave & Park Pl,8,40.69130528,-73.91676259,40.6776147,-73.97324283
Dahill Rd & 12 Ave,7 Ave & 40 St,15,40.645919442,-73.980916023,40.648169,-74.000057
E 58 St & 1 Ave (NW Corner),53 St & Roosevelt Ave,2,40.759125,-73.962658,40.74462,-73.91143
LaGuardia Pl & W 3 St,Flushing Ave & Vanderbilt Ave,3,40.72917025,-73.99810231,40.69795031569544,-73.97077560424805
St. Ann's Ave & E 144 St,Lincoln Ave & E 134 St,2,40.811112,-73.914932,40.808484,-73.928803
E 76 St & Park Ave,West Thames St,2,40.7737602,-73.962397695,40.70834698,-74.01713445
Lenox Ave & W 115 St,Walton Ave & E 151 St,1,40.801138163,-73.950213313,40.82090903827738,-73.92753845245076
31 St & Thomson Ave,Clinton Ave & Flushing Ave,3,40.74469738,-73.93540375,40.69794,-73.96986848
31 Ave & Crescent St,Riverside Dr & W 72 St,1,40.765859008,-73.926661611,40.78057799010334,-73.98562431335449
Kingsland Ave & Nassau Ave,Brooklyn Bridge Park - Pier 2,7,40.725605369,-73.941602826,40.698458,-73.997178
College Ave & E 170 St,Creston Ave & E 181 St,1,40.837400079,-73.910372615,40.8549,-73.90281
Grand Concourse & E Mount Eden Ave,Cathedral Pkwy & Broadway,1,40.843121767,-73.911764503,40.804213,-73.96699104
Pacific St & Nevins St,Bond St & Bergen St,68,40.6853761,-73.98302136,40.6849668,-73.98620772
Dwight St & Van Dyke St,Union St & Bedford Ave,2,40.673565626,-74.011958122,40.6691783,-73.9554162
Graham Ave & Grand St,2 Ave & E 31 St,3,40.711790919,-73.943982244,40.74299,-73.97711
E 48 St & 3 Ave,E 94 St & Madison Ave,7,40.7546011026,-73.971878855,40.78585105291389,-73.95482444378061
Kent Ave & Grand St,Bergen St & Smith St,14,40.716436863,-73.965919375,40.6867443,-73.99063168
Menahan St & Seneca Ave,60 Pl & Bleecker St,24,40.704628825,-73.91055727,40.71,-73.9
Kent Ave & N 7 St,Congress St & Clinton St,10,40.72036775298455,-73.96165072917938,40.68825516598005,-73.99545192718506
Greenwich Ave & 8 Ave,Mt Morris Park W & W 120 St,3,40.7390486,-74.002441168,40.804038,-73.945925
Courtlandt Ave & E 149 St,Jerome Ave & Ogden Ave,11,40.816385031,-73.919591546,40.829797,-73.931015
