,start_station_name,value
2106,W 21 St & 6 Ave,139932
700,Broadway & W 58 St,115741
2251,West St & Chambers St,110813
2020,University Pl & E 14 St,107445
37,11 Ave & W 41 St,107216
8,1 Ave & E 68 St,104947
690,Broadway & W 25 St,102916
2127,W 31 St & 7 Ave,102697
377,6 Ave & W 33 St,99761
1030,E 17 St & Broadway,98397
575,Ave A & E 14 St,96352
1080,E 33 St & 1 Ave,94034
2142,W 41 St & 8 Ave,93985
661,Broadway & E 14 St,92264
821,Cleveland Pl & Spring St,89226
427,7 Ave & Central Park South,88836
455,8 Ave & W 16 St,88684
50,12 Ave & W 40 St,87072
458,8 Ave & W 31 St,86357
2252,West St & Liberty St,86148
