date,avgTemp,trip_count
2023-12-20,2.3,80591
2023-12-21,3.6,75004
2023-12-07,2.1,85795
2023-12-26,7.1,50807
2023-12-15,7.2,102753
2023-12-01,7.7,66006
2023-12-22,-0.1,63554
2023-12-05,6.1,95113
2023-12-27,6.7,42288
2023-12-09,8.7,102005
2023-12-30,7.2,56099
2023-12-12,4.8,90578
2023-12-16,10.3,94905
2023-12-08,6.3,98371
2023-12-06,3.9,90069
2023-12-19,5.6,81261
2023-12-17,9.2,55192
2023-12-10,11.6,43386
2023-12-13,6.2,94172
2023-12-14,3.3,90282
2023-12-03,9.7,34997
2023-12-02,9.9,101857
2023-12-29,9.8,69036
2023-12-04,9.5,95204
2023-12-18,13.4,57682
2023-12-11,8.3,68421
2023-12-31,5.4,53425
2023-12-25,6.8,29935
2023-12-28,9.5,46808
2023-12-24,6.1,39368
2023-12-23,2.6,49496
2023-11-30,5.1,97239
2023-01-07,5.3,59158
2023-01-04,13.7,74454
2023-01-20,6.5,67532
2023-01-24,3.9,67647
2023-01-13,10.7,65274
2023-01-26,8.8,64439
2023-01-10,4.4,66674
2023-01-11,3.2,67100
2023-01-01,10.7,50642
2023-01-30,9.1,70436
2023-01-28,5.8,66819
2023-01-12,4.9,51491
2023-01-29,8.5,58041
2023-01-22,3.7,39438
2023-01-09,4.4,61588
2023-01-05,7.9,71440
2023-01-06,6.7,64752
2023-01-21,4.7,58192
2023-01-16,2.1,49763
2023-01-25,3.8,41868
2023-01-03,9.6,51789
2023-01-27,4.8,65614
2023-01-17,5.1,64872
2023-01-08,3.4,49454
2023-01-18,8.6,75820
2023-01-02,10.8,58241
2023-01-31,5.1,57398
2023-01-19,6.3,32358
2023-01-15,0.8,41091
2023-01-14,2.0,43527
2023-01-23,3.5,38417
2023-05-25,14.9,122183
2023-05-22,18.9,113843
2023-05-28,19.9,99199
2023-05-24,17.1,116304
2023-05-03,11.2,101459
2023-05-17,18.2,115683
2023-05-16,21.8,121382
2023-05-19,15.5,119816
2023-05-31,16.7,121740
2023-05-15,18.3,114737
2023-05-09,17.1,115179
2023-05-14,19.8,106878
2023-05-06,15.6,123342
2023-05-21,17.7,114250
2023-05-11,20.5,128207
2023-05-05,12.8,111833
2023-05-18,11.9,114683
2023-05-04,10.8,91869
2023-05-10,15.8,122962
2023-05-26,17.7,121286
2023-05-02,11.8,89627
2023-05-23,16.0,121951
2023-05-27,19.6,106001
2023-05-29,20.8,102591
2023-05-13,25.3,121616
2023-05-12,24.8,128990
2023-05-08,19.6,114674
2023-05-30,16.6,111933
2023-05-07,18.6,113016
2023-05-20,15.5,44963
2023-05-01,14.6,101379
2023-04-30,11.5,24850
2023-04-22,12.8,113574
2023-04-12,21.9,116111
2023-04-16,14.9,103606
2023-04-13,25.3,119084
2023-04-26,11.7,108439
2023-04-28,11.3,85441
2023-03-18,10.4,74884
2023-04-15,19.7,101347
2023-04-27,11.7,102800
2023-04-23,14.3,87659
2023-04-25,12.0,105667
2023-04-11,16.1,104068
2023-04-01,14.6,71017
2023-04-24,12.2,99309
2023-06-05,18.3,115089
2023-06-25,23.4,116563
2023-06-10,19.7,122366
2023-06-14,21.7,117194
2023-06-15,20.7,134699
2023-06-02,24.2,111697
2023-06-18,21.8,110799
2023-06-26,23.2,102260
2023-06-17,20.2,116722
2023-06-21,19.0,132181
2023-06-13,21.7,131625
2023-06-07,18.3,92204
2023-06-06,20.8,112238
2023-06-19,22.3,120446
2023-06-20,20.2,128543
2023-06-22,18.5,116802
2023-06-24,22.4,111105
2023-06-23,19.7,107756
2023-06-29,23.6,130450
2023-06-16,22.2,106060
2023-06-03,19.6,106088
2023-06-11,22.7,108537
2023-06-01,21.5,126625
2023-06-04,15.0,103370
2023-06-27,22.8,119027
2023-06-28,23.6,131118
2023-06-12,22.3,97169
2023-06-09,18.8,112979
2023-06-08,17.9,96648
2023-06-30,24.4,113509
2023-09-01,20.5,128004
2023-09-12,23.4,155945
2023-09-21,19.6,153216
2023-09-06,29.4,141277
2023-09-28,15.9,107534
2023-09-02,21.3,119190
2023-09-17,21.1,124955
2023-09-09,25.8,126046
2023-09-03,25.2,111962
2023-09-14,22.8,156602
2023-09-27,15.6,138161
2023-09-07,30.7,144722
2023-09-04,27.6,111239
2023-09-19,19.4,152304
2023-09-15,18.1,145855
2023-09-05,28.5,133181
2023-09-11,23.8,111357
2023-09-24,17.6,34864
2023-09-30,16.1,103003
2023-09-20,20.2,156146
2023-09-10,24.3,85813
2023-09-08,26.6,120672
2023-09-29,16.3,49184
2023-09-25,16.8,43306
2023-09-16,20.0,144020
2023-09-18,20.0,59963
2023-09-22,18.8,149025
2023-09-13,24.7,144020
2023-09-23,16.7,36069
2023-09-26,16.0,84023
2023-08-31,21.9,137970
2023-04-20,11.5,112930
2023-03-20,4.2,68951
2023-04-14,26.2,119795
2023-07-15,26.2,110252
2023-08-30,24.8,130677
2023-11-25,2.3,52946
2023-11-01,8.4,101059
2023-11-19,8.8,87594
2023-11-23,9.8,44463
2023-11-04,11.9,112557
2023-11-20,6.5,88771
2023-11-03,9.1,115346
2023-11-05,14.3,112478
2023-11-02,6.4,109272
2023-11-12,5.8,78891
2023-11-15,8.2,111285
2023-11-08,10.6,110773
2023-11-17,14.1,128534
2023-11-06,10.6,106694
2023-11-18,13.4,97725
2023-11-13,5.7,94990
2023-11-26,5.2,45249
2023-11-28,3.2,80420
2023-11-11,9.9,103495
2023-11-22,10.4,82338
2023-11-16,12.1,123215
2023-11-09,9.8,118304
2023-11-07,14.7,117996
2023-11-27,9.9,86484
2023-11-21,4.9,60487
2023-11-10,11.6,108767
2023-11-24,9.1,53357
2023-11-29,0.7,80297
2023-11-14,9.4,105824
2023-10-31,10.1,118381
2023-02-22,5.4,54430
2023-02-14,9.2,78221
2023-02-20,10.0,70881
2023-02-15,10.6,89040
2023-02-10,12.3,83968
